Entity,Code,Year,Average student's performance,Mathematics score,Reading score,Science score,Number of Internet users,Happiness score,Academic freedom index,Gross enrolment ratio in primary education,Gross enrolment ratio in secondary education,Population,Ratio of internet users by population,scaled Happiness score,scaled Academic freedom index,scaled Gross enrolment ratio in primary education,scaled Gross enrolment ratio in secondary education
Albania,ALB,2000,348.84952,,348.84952,,3612.4407,,0.843,101.86939,98.09378,3166147,0.11409579845787325,,86.0204081632653,79.48301478297736,59.78418308845048
Albania,ALB,2009,384.3244666666666,377.46106,384.8166,390.69574,1220111.6,,0.843,100.92374,89.31572,2961487,41.199289411028985,,86.0204081632653,78.74517672456236,54.434311300439006
Albania,ALB,2012,395.22227,394.32935,393.96426,397.3732,1437513.9,5.55,0.843,102.06736,97.60807,2910003,49.3990521659256,71.11737570476679,86.0204081632653,79.63747975461001,59.4881625296761
Albania,ALB,2015,415.21358,413.157,405.25876,427.22498,1649297.1,4.655,0.861,105.68865,102.44073,2898634,56.899115238419206,59.64889800102512,87.85714285714286,82.46297077407571,62.433472927993215
Albania,ALB,2018,419.79253666666665,437.222,405.42935,416.72626,1892794.4,4.719,0.859,104.56802,98.82239,2894229,65.39891625714482,60.46899026140441,87.65306122448979,81.58860556136317,60.22824135228817
Albania,ALB,2022,367.5413966666667,368.2217,358.43475,375.96774,2252189,5.277,0.824,96.37123,97.32247,2827614,79.64980368607596,67.61916965658637,84.08163265306122,75.19310657248181,59.3141009052789
Algeria,DZA,2015,361.7368666666666,359.60623,349.85925,375.74512,15287439,6.355,0.326,109.58479,103.64269,40019528,38.199948285247146,81.43259866735008,33.265306122448976,85.50291194989457,63.16601883156624
Argentina,ARG,2000,418.2507,,418.2507,,2619370.8,,0.925,116.5583,96.21412,37213986,7.038673040829327,,94.38775510204083,90.94395364474757,58.63860650261561
Argentina,ARG,2006,382.0738666666667,381.2539,373.7238,391.2439,8291788.5,,0.954,116.18785,92.40758,39622113,20.927173924318474,,97.34693877551021,90.65491212966286,56.318674654811296
Argentina,ARG,2009,395.72251,388.0681,398.2609,400.83853,13890626,,0.954,118.29331,96.40568,40854832,33.99995868297781,,97.34693877551021,92.29768537396096,58.75535455853132
Argentina,ARG,2012,396.68095,388.4317,395.97913,405.63202,23526214,6.562,0.949,116.43644,102.70999,42161718,55.79994154887142,84.08508457201435,96.83673469387755,90.848873069695,62.59757598466405
Argentina,ARG,2015,422.1875733333333,409.03333,425.30313,432.22626,29583054,6.65,0.949,112.93665,107.50487,43477011,68.04298023155272,85.21271143003588,96.83673469387755,88.11818173732013,65.51986100423561
Argentina,ARG,2018,395.00945666666667,379.45383,401.5031,404.07144,34696796,6.086,0.873,109.30546,109.67124,44654876,77.69990448523471,77.98564838544337,89.08163265306122,85.28496629890628,66.84017571447846
