Entity,Code,Sum of Year,Sum of Average student's performance,Sum of Mathematics score,Sum of Reading score,Sum of Science score,Sum of Number of Internet users,Sum of Happiness score,Sum of Academic freedom index,Sum of Gross enrolment ratio in primary education,Sum of Gross enrolment ratio in secondary education
Albania,ALB,12076,2330.94377,1990.39111,2296.75324,2007.98792,6203329.4407,20.201,5.0729999999999995,509.619,485.50937999999996
Algeria,DZA,2015,361.73686666666663,359.60623,349.85925,375.74512,15287439,6.355,0.326,109.58479,
Argentina,ARG,14082,2804.7465300000003,2323.76988,2813.7648099999997,2440.2034999999996,112607849.3,25.322000000000003,6.549,796.47784,719.0616
Australia,AUS,16085,4102.9666,3535.0055300000004,4096.88663,3095.60414,99620917,28.985999999999997,7.171000000000001,820.0834,428.49358
Austria,AUT,16085,3949.0984633333333,3495.4961,3882.50021,2987.03496,39298215.2,28.831000000000003,7.761,811.51147,802.6914699999999
Belarus,BLR,2018,472.3057533333333,471.86514,473.78845,471.26367,7501496,5.323,0.192,98.22608,101.59601
Belgium,BEL,16085,4043.11463,3583.9784799999998,3999.81884,3013.15788,51487728,27.678000000000004,7.755000000000001,820.17872,1247.7638499999998
Bosnia and Herzegovina,BIH,2018,402.61995,406.3844,402.9778,398.49765,2374926.8,5.386,0.765,99.71658,85.64099
Brazil,BRA,16085,3151.961713333333,2639.18394,3240.57747,2404.65953,515187283.5,26.226,6.439,426.52802,406.27975999999995
Brunei,BRN,4040,862.1158033333334,872.2060799999999,837.3018500000001,876.83948,415886.25,,,203.31490000000002,179.033174
Bulgaria,BGR,14082,2999.8955733333332,2574.7879000000003,2953.41051,2610.68143,18283749.64,18.675,6.386,707.76091,664.80498
Cambodia,KHM,2022,337.44765333333334,336.39603,328.84277,347.10416,,4.393,0.247,106.33154,55.13468
Canada,CAN,16085,4189.21077,3628.98183,4190.48968,3149.3351199999997,183814145,29.119999999999997,7.293000000000001,691.5524,747.34617
Chile,CHL,14082,3030.610086666667,2506.81767,3101.23825,2664.66074,54852408.2,26.07,6.7379999999999995,719.60825,668.4246499999999
Colombia,COL,12082,2388.9950233333334,2290.58827,2447.75736,2428.63944,99918633,24.651999999999997,4.146,703.4511699999999,585.4116799999999
Costa Rica,CRI,8067,1659.83157,1594.1599,1709.7667,1675.5681100000002,8737675.8,28.119999999999997,3.673,423.00939000000005,476.86012000000005
Croatia,HRV,12082,2856.6805866666664,2789.66665,2879.0294599999997,2901.3456499999998,12410071,22.706000000000003,5.243,594.97476,610.83953
Cyprus,CYP,8067,1721.0656133333332,1745.8145299999999,1697.21834,1720.16397,2654690.1,24.188,3.782,396.27255,399.3374
Czechia,CZE,16085,3963.8450399999997,3496.87863,3899.9835399999997,3009.02024,40360601.7,26.583,7.585999999999999,811.2374800000001,789.84858
